Date,Open,High,Low,Close,Adj Close,Volume
1980-01-02,10.1875,10.1875,10.0625,10.0625,3.4495553970336914,91200
1980-01-03,10.0625,10.1875,10.0625,10.0625,3.4495553970336914,62000
1980-01-04,10.125,10.25,10.125,10.125,3.4709818363189697,142800
1980-01-07,10.125,10.1875,10.0625,10.0625,3.4495553970336914,65200
1980-01-08,10.09375,10.21875,10.09375,10.09375,3.4602696895599365,75200
1980-01-09,10.09375,10.21875,10.09375,10.09375,3.4602696895599365,26000
1980-01-10,10.09375,10.1875,10.0625,10.0625,3.4495553970336914,73600
1980-01-11,10.3125,10.4375,10.3125,10.3125,3.53525972366333,196800
1980-01-14,10.5625,10.6875,10.5625,10.5625,3.620962619781494,78800
1980-01-15,10.5625,10.65625,10.53125,10.53125,3.6102495193481445,68800
1980-01-16,10.53125,10.65625,10.53125,10.53125,3.6102495193481445,20800
1980-01-17,10.53125,10.59375,10.46875,10.46875,3.588823080062866,287200
1980-01-18,10.46875,10.5625,10.4375,10.4375,3.578111410140991,47600
1980-01-21,10.46875,10.59375,10.46875,10.46875,3.588823080062866,32800
1980-01-22,10.46875,10.59375,10.46875,10.46875,3.588823080062866,29200
1980-01-23,10.5,10.625,10.5,10.5,3.5995354652404785,22000
1980-01-24,10.53125,10.65625,10.53125,10.53125,3.6102495193481445,13200
1980-01-25,10.53125,10.65625,10.53125,10.53125,3.6102495193481445,8400
1980-01-28,10.53125,10.625,10.5,10.5,3.5995354652404785,203200
1980-01-29,10.46875,10.46875,10.34375,10.34375,3.5459725856781006,242800
1980-01-30,10.34375,10.4375,10.3125,10.3125,3.53525972366333,548400
1980-01-31,10.1875,10.1875,10.0625,10.0625,3.4495553970336914,96000
1980-02-01,9.8125,9.8125,9.6875,9.6875,3.3209996223449707,112000
1980-02-04,9.6875,9.78125,9.65625,9.65625,3.3102874755859375,196800
1980-02-05,9.65625,9.75,9.625,9.625,3.299574851989746,40400
1980-02-06,9.625,9.65625,9.53125,9.53125,3.267437696456909,126400
1980-02-07,9.21875,9.21875,9.09375,9.09375,3.117454767227173,170000
1980-02-08,9.1875,9.3125,9.1875,9.1875,3.149594306945801,201600
1980-02-11,9.21875,9.34375,9.21875,9.21875,3.1603078842163086,116000
1980-02-12,9.21875,9.34375,9.21875,9.21875,3.1603078842163086,123200
1980-02-13,9.25,9.375,9.25,9.25,3.1710195541381836,86800
1980-02-14,9.25,9.375,9.25,9.25,3.1710195541381836,35200
1980-02-15,9.0,9.0,8.875,8.875,3.042464017868042,120800
1980-02-19,8.875,8.96875,8.84375,8.84375,3.0317516326904297,54000
1980-02-20,8.8125,8.8125,8.6875,8.6875,2.9781875610351562,203600
1980-02-21,8.625,8.625,8.5,8.5,2.9139111042022705,163200
1980-02-22,8.40625,8.40625,8.28125,8.28125,2.8389205932617188,113600
1980-02-25,8.1875,8.1875,8.0625,8.0625,2.763930082321167,226000
1980-02-26,8.1875,8.3125,8.1875,8.1875,2.8067808151245117,164000
1980-02-27,8.1875,8.28125,8.15625,8.15625,2.7960689067840576,163600
1980-02-28,8.15625,8.28125,8.15625,8.15625,2.7960689067840576,64400
1980-02-29,8.25,8.375,8.25,8.25,2.8282063007354736,141600
1980-03-03,8.25,8.375,8.25,8.25,2.8282063007354736,287200
1980-03-04,8.25,8.375,8.25,8.25,2.8282063007354736,77200
1980-03-05,8.25,8.3125,8.1875,8.1875,2.8067808151245117,82800
1980-03-06,8.1875,8.1875,8.0625,8.0625,2.763930082321167,125200
1980-03-07,7.9375,7.9375,7.8125,7.8125,2.6782264709472656,104800
1980-03-10,7.84375,7.96875,7.84375,7.84375,2.6889381408691406,81600
1980-03-11,7.875,8.0,7.875,7.875,2.699652671813965,270000
1980-03-12,7.875,7.875,7.75,7.75,2.65679931640625,106000
1980-03-13,7.9375,8.0625,7.9375,7.9375,2.721078395843506,116400
1980-03-14,8.125,8.25,8.125,8.125,2.7853546142578125,96800
1980-03-17,8.125,8.125,8.0,8.0,2.742504596710205,104400
1980-03-18,8.21875,8.34375,8.21875,8.21875,2.817495822906494,144000
1980-03-19,8.375,8.5,8.375,8.375,2.8710594177246094,222800
1980-03-20,8.59375,8.71875,8.59375,8.59375,2.9460480213165283,455200
1980-03-21,8.59375,8.6875,8.5625,8.5625,2.9353373050689697,114800
1980-03-24,8.5625,8.6875,8.5625,8.5625,2.9353373050689697,184400
1980-03-25,8.59375,8.71875,8.59375,8.59375,2.9460480213165283,57600
1980-03-26,8.59375,8.71875,8.59375,8.59375,2.9460480213165283,288000
1980-03-27,8.5,8.5,8.375,8.375,2.8710594177246094,346800
1980-03-28,8.4375,8.5625,8.4375,8.4375,2.8924856185913086,164400
1980-03-31,8.4375,8.5,8.375,8.375,2.8710594177246094,54000
1980-04-01,8.65625,8.78125,8.65625,8.65625,2.967475652694702,438400
1980-04-02,8.9375,9.0625,8.9375,8.9375,3.0638911724090576,494400
1980-04-03,8.9375,9.0625,8.9375,8.9375,3.0638911724090576,171200
1980-04-07,8.75,8.75,8.625,8.625,2.956763505935669,109600
1980-04-08,8.75,8.875,8.75,8.75,2.9996144771575928,138400
1980-04-09,8.9375,9.0625,8.9375,8.9375,3.0638911724090576,261600
1980-04-10,8.9375,9.0,8.875,8.875,3.042464017868042,367200
1980-04-11,8.875,8.96875,8.84375,8.84375,3.0317516326904297,70000
1980-04-14,8.84375,8.9375,8.8125,8.8125,3.0210392475128174,119200
1980-04-15,8.8125,8.9375,8.8125,8.8125,3.0210392475128174,143600
1980-04-16,8.8125,8.90625,8.78125,8.78125,3.010326862335205,280400
1980-04-17,8.78125,8.8125,8.6875,8.6875,2.9781875610351562,172000
1980-04-18,8.75,8.875,8.75,8.75,2.9996144771575928,95600
1980-04-21,8.75,8.84375,8.71875,8.71875,2.988901138305664,74400
1980-04-22,8.78125,8.90625,8.78125,8.78125,3.010326862335205,98000
1980-04-23,8.875,9.0,8.875,8.875,3.042464017868042,219200
1980-04-24,8.90625,9.03125,8.90625,8.90625,3.0531792640686035,21600
1980-04-25,8.90625,8.96875,8.84375,8.84375,3.0317516326904297,26000
1980-04-28,8.84375,8.96875,8.84375,8.84375,3.0317516326904297,136000
1980-04-29,8.84375,8.9375,8.8125,8.8125,3.0210392475128174,43200
1980-04-30,8.8125,8.9375,8.8125,8.8125,3.0210392475128174,101200
